t,x,y,z
3.043904,0.838,-0.286,0.406
3.093952,0.802,-0.29,0.414
3.144,0.818,-0.294,0.414
3.193856,0.864,-0.322,0.428
3.243904,0.868,-0.32,0.44
3.293952,0.848,-0.284,0.418
3.344,0.848,-0.292,0.434
3.394856,0.84,-0.304,0.43
3.444904,0.922,-0.3,0.402
3.494952,0.82,-0.262,0.344
3.545,0.804,-0.326,0.332
3.594856,0.808,-0.382,0.258
3.644904,0.878,-0.386,0.278
3.694952,0.784,-0.444,0.268
3.745,0.818,-0.48,0.274
3.794856,0.852,-0.498,0.284
3.844904,0.858,-0.48,0.29
3.894952,0.826,-0.452,0.276
3.945,0.836,-0.432,0.28
3.994856,0.858,-0.4,0.274
4.044904,0.852,-0.442,0.27
4.094952,0.89,-0.64,0.28
4.145,0.922,-0.876,0.28
4.194856,0.752,-1.146,0.07
4.244904,0.602,-1.312,-0.08
4.294952,0.296,-0.988,-0.18
4.345,0.164,-0.876,-0.216
4.395856,0.062,-0.674,-0.17
4.445904,0.146,-0.472,-0.16
4.495952,0.248,-0.432,-0.018
4.546,0.654,-0.688,-0.004
4.595856,0.452,-0.936,-0.018
4.645904,0.114,-0.924,0.064
4.695952,0.018,-0.92,0.028
4.746,-0.142,-1.026,-0.128
4.795856,-0.088,-0.686,0.27
4.845904,0.062,-1.234,-0.168
4.895952,-0.048,-0.896,-0.114
4.946,-0.038,-0.88,-0.13
4.995856,0.098,-0.888,-0.19
5.045904,0.106,-0.96,-0.186
5.095952,0.116,-1.12,-0.308
5.146,-0.006,-1.008,-0.338
5.195856,-0.07,-1.054,-0.186
5.245904,-0.252,-1.06,-0.174
5.295952,-0.182,-0.716,0.124
5.346,-0.31,-0.782,0.3
5.396856,-0.184,-0.722,0.328
5.446904,-0.046,-0.774,0.438
5.496952,-0.096,-1.104,0.142
5.547,-0.14,-0.902,0.384
5.596856,-0.03,-0.912,0.332
5.646904,-0.07,-1.016,0.236
5.696952,-0.13,-0.848,0.262
5.747,0.058,-0.998,0.344
5.796856,0.062,-0.86,0.384
5.846904,-0.064,-0.62,0.348
5.896952,0.052,-0.952,0.48
5.947,-0.232,-0.616,0.294
5.996856,0.018,-0.578,0.264
6.046904,0.004,-0.59,-0.218
6.096952,-0.184,-1.072,-0.628
6.147,-0.15,-1.1,-0.552
6.196856,-0.166,-0.812,-0.494
6.246904,-0.206,-0.668,-0.41
6.296952,0.034,-0.6,-0.416
6.347,0.144,-0.572,-0.45
6.396856,0.016,-0.838,-0.328
6.446904,-0.062,-0.796,-0.504
6.496952,-0.048,-0.784,-0.538
6.547,-0.014,-0.844,-0.466
6.597856,-0.184,-0.728,-0.528
6.647904,-0.078,-0.85,-0.5
6.697952,-0.008,-0.704,-0.458
6.748,-0.016,-0.67,-0.432
6.797856,-0.136,-0.898,-0.546
6.847904,-0.12,-0.844,-0.442
6.897952,0.002,-0.782,-0.432
6.948,-0.108,-0.766,-0.514
6.997856,-0.038,-0.742,-0.4
7.047904,-0.076,-0.848,-0.626
7.097952,-0.152,-0.87,-0.516
7.148,-0.016,-0.94,-0.648
7.197856,-0.082,-0.926,-0.562
7.247904,-0.174,-0.658,-0.412
7.297952,-0.028,-0.756,-0.37
7.348,-0.098,-0.966,-0.466
7.397856,-0.188,-0.638,-0.178
7.447904,-0.03,-0.764,-0.516
7.497952,-0.038,-0.672,-0.306
7.548,-0.142,-0.99,-0.578
7.798856,-0.024,-0.902,-0.392
7.848904,-0.08,-0.832,-0.414
7.898952,0.09,-0.834,-0.46
7.949,0.158,-0.882,-0.45
7.998856,0.208,-0.952,-0.448
8.048904,0.172,-0.644,-0.148
8.098952,0.01,-0.886,-0.27
8.149,0.026,-0.792,-0.208
8.198856,-0.072,-0.608,-0.204
8.248904,-0.194,-0.6,-0.088
8.298952,-0.326,-0.706,-0.032
8.349,-0.396,-0.84,-0.056
8.398856,-0.384,-1.288,-0.354
8.448904,-0.224,-0.774,-0.048
8.498952,0.058,-1.378,-0.272
8.549,-0.038,-0.928,-0.16
8.599856,0.144,-0.94,-0.256
8.649904,-0.194,-1.084,-0.482
8.699952,0.052,-0.682,-0.146
8.75,0.254,-1.12,0.086
8.799856,0.132,-1.086,-0.122
8.849904,0.052,-0.736,-0.064
8.899952,0.026,-0.862,-0.072
8.95,-0.006,-0.91,-0.22
8.999856,0.036,-0.992,-0.08
9.049904,-0.088,-0.996,-0.298
9.099952,0.002,-0.816,-0.154
9.199856,-0.038,-1.006,-0.276
9.249904,-0.078,-0.872,-0.222
9.299952,-0.056,-0.856,-0.1
9.35,0.1,-0.85,0.286
9.399856,-0.022,-1.054,0.254
9.449904,-0.006,-0.962,0.438
9.499952,0.104,-0.878,0.544
9.55,0.078,-0.84,0.472
9.600856,0.112,-0.944,0.56
9.650904,-0.024,-0.974,0.464
9.700952,0.112,-0.752,0.608
9.751,-0.048,-1.154,0.432
9.800856,0.176,-0.54,0.854
9.850904,0.17,-0.56,0.838
9.900952,0.264,-0.816,0.492
9.951,0.242,-0.966,0.32
10.000856,0.318,-0.76,0.386
10.050904,0.296,-0.808,0.358
10.100952,0.384,-0.678,0.38
10.151,0.492,-0.856,0.344
10.200856,0.54,-0.942,0.352
10.250904,0.488,-0.934,0.364
10.300952,0.464,-0.77,0.48
10.351,0.41,-0.978,0.464
10.400856,0.338,-0.83,0.308
10.450904,0.456,-0.752,0.24
10.500952,0.558,-0.79,0.148
10.551,0.576,-0.724,0.098
10.601856,0.65,-0.834,0.152
10.651904,0.606,-0.88,0.07
10.701952,0.596,-0.69,0.112
10.752,0.592,-0.94,0.076
10.801856,0.402,-0.726,-0.068
10.851904,0.402,-0.866,-0.046
10.901952,0.434,-0.79,-0.096
10.952,0.432,-0.96,-0.072
11.001856,0.436,-1.152,-0.124
11.051904,0.388,-0.672,0.046
11.101952,0.388,-0.728,0.244
11.152,0.328,-0.808,0.3
11.201856,0.372,-0.69,0.43
11.251904,0.32,-0.732,0.44
11.301952,0.43,-0.824,0.36
11.352,0.44,-0.75,0.508
11.401856,0.558,-0.556,0.636
11.451904,0.496,-0.668,0.508
11.501952,0.414,-0.914,0.486
11.552,0.474,-0.798,0.584
11.601856,0.43,-0.726,0.54
11.651904,0.45,-0.646,0.574
11.701952,0.472,-0.704,0.576
11.752,0.474,-0.594,0.588
11.802856,0.458,-0.6,0.542
11.852904,0.554,-0.764,0.478
11.902952,0.538,-0.824,0.482
11.953,0.536,-0.702,0.504
12.002856,0.498,-0.716,0.494
12.052904,0.494,-0.732,0.494
12.102952,0.494,-0.732,0.492
12.153,0.514,-0.706,0.478
12.202856,0.512,-0.68,0.498
12.252904,0.5,-0.7,0.48
12.302952,0.484,-0.752,0.454
12.353,0.482,-0.716,0.488
12.402856,0.496,-0.702,0.48
12.452904,0.49,-0.71,0.486
12.502952,0.504,-0.702,0.472
12.553,0.5,-0.71,0.476
12.602856,0.5,-0.728,0.462
12.652904,0.496,-0.72,0.478
12.702952,0.52,-0.704,0.472
12.753,0.504,-0.718,0.462
12.803856,0.524,-0.728,0.476
12.853904,0.516,-0.7,0.472
12.903952,0.522,-0.71,0.462
12.954,0.514,-0.71,0.472
13.003856,0.51,-0.718,0.47
13.053904,0.498,-0.714,0.472
13.103952,0.518,-0.67,0.448
13.154,0.498,-0.728,0.48
13.203856,0.506,-0.728,0.48
13.253904,0.516,-0.718,0.472
13.303952,0.52,-0.706,0.462
13.354,0.506,-0.718,0.482
13.403856,0.506,-0.736,0.462
13.453904,0.48,-0.71,0.454
13.503952,0.484,-0.72,0.48
13.554,0.5,-0.718,0.476
13.603856,0.52,-0.71,0.476
13.653904,0.544,-0.736,0.464
13.703952,0.56,-0.76,0.48
13.754,0.61,-0.76,0.5
13.804856,0.528,-0.608,0.518
13.854904,0.494,-0.688,0.524
13.904952,0.494,-0.83,0.448
13.955,0.548,-0.752,0.534
14.004856,0.526,-0.718,0.508
14.054904,0.478,-0.76,0.518
14.104952,0.386,-0.728,0.456
14.155,0.442,-0.838,0.454
14.204856,0.484,-0.628,0.488
14.254904,0.506,-0.738,0.418
14.304952,0.552,-0.716,0.562
14.355,0.542,-0.872,0.508
14.404856,0.434,-0.728,0.52
14.454904,0.412,-0.686,0.664
14.504952,0.416,-0.718,0.87
14.555,0.348,-0.71,0.846
14.604856,0.26,-0.782,0.732
14.654904,0.208,-0.908,0.688
14.704952,0.114,-0.792,0.79
14.755,0.026,-0.694,0.74
14.805856,-0.126,-0.584,0.62
14.855904,-0.35,-0.748,0.56
14.905952,-0.608,-0.44,0.612
14.956,-0.748,-0.51,0.572
15.005856,-0.782,-0.312,0.588
15.055904,-0.798,-0.2,0.554
15.105952,-0.718,-0.176,0.566
15.156,-0.68,-0.018,0.546
15.205856,-0.624,0.176,0.568
15.255904,-0.614,0.174,0.654
15.305952,-0.59,0.242,0.63
15.356,-0.688,0.302,0.69
15.405856,-0.674,0.176,0.736
15.455904,-0.782,0.222,0.684
15.505952,-0.776,0.25,0.656
15.556,-0.742,0.224,0.652
15.605856,-0.684,0.282,0.646
15.655904,-0.816,0.206,0.67
15.705952,-0.728,0.242,0.636
15.756,-0.718,0.244,0.684
15.806856,-0.808,0.314,0.608
15.856904,-0.83,0.274,0.668
15.906952,-0.792,0.248,0.628
15.957,-0.76,0.27,0.642
16.006856,-0.742,0.254,0.572
16.056904,-0.796,0.252,0.61
16.106952,-0.802,0.24,0.6
16.157,-0.8,0.24,0.638
16.206856,-0.812,0.24,0.644
16.256904,-0.782,0.216,0.614
16.306952,-0.796,0.272,0.624
16.357,-0.782,0.232,0.6
16.406856,-0.804,0.274,0.62
16.456904,-0.774,0.224,0.614
16.506952,-0.802,0.242,0.624
16.557,-0.818,0.24,0.608
16.606856,-0.792,0.222,0.62
16.656904,-0.796,0.232,0.596
16.706952,-0.806,0.242,0.6
16.757,-0.822,0.234,0.588
16.806856,-0.824,0.226,0.57
16.856904,-0.816,0.226,0.624
16.906952,-0.806,0.232,0.616
16.957,-0.8,0.25,0.6
17.207856,-0.816,0.232,0.576
17.257904,-0.8,0.232,0.63
17.307952,-0.806,0.238,0.592
17.358,-0.792,0.218,0.604
17.407856,-0.736,0.264,0.556
17.457904,-0.7,0.218,0.536
17.507952,-0.654,0.208,0.508
17.558,-0.624,0.148,0.56
17.607856,-0.608,0.078,0.558
17.657904,-0.562,0.03,0.54
17.707952,-0.386,-0.384,0.664
17.758,-0.44,-0.374,0.524
17.807856,0.016,-0.908,0.542
17.857904,0.034,-1.0,0.332
17.907952,0.474,-1.214,0.544
17.958,0.532,-1.222,0.51
18.007856,0.53,-1.144,0.498
18.057904,0.446,-0.992,0.358
18.107952,0.424,-1.23,0.162
18.158,0.314,-1.072,0.142
18.208856,0.288,-0.92,0.138
18.258904,0.336,-0.8,0.12
18.308952,0.474,-0.96,-0.104
18.359,0.51,-0.814,-0.078
18.408856,0.466,-0.928,0.142
18.458904,0.434,-0.696,0.206
18.508952,0.32,-0.448,0.598
18.559,0.43,-0.978,0.534
18.608856,0.372,-0.646,0.536
18.658904,0.414,-0.736,0.53
18.708952,0.368,-0.704,0.46
18.759,0.404,-0.846,0.488
18.808856,0.424,-0.67,0.544
18.858904,0.402,-0.716,0.582
18.908952,0.4,-0.642,0.606
18.959,0.478,-0.782,0.568
19.008856,0.446,-0.566,0.604
19.058904,0.478,-0.722,0.592
19.108952,0.514,-0.55,0.6
19.159,0.668,-0.838,0.568
19.209856,0.648,-0.728,0.542
19.259904,0.514,-0.632,0.528
19.309952,0.544,-0.636,0.51
19.36,0.528,-0.72,0.492
19.409856,0.516,-0.754,0.472
19.459904,0.514,-0.55,0.6
19.509952,0.516,-0.61,0.542
19.56,0.542,-0.598,0.53
19.609856,0.556,-0.614,0.55
19.659904,0.544,-0.624,0.542
19.709952,0.552,-0.648,0.574
19.76,0.562,-0.648,0.622
19.809856,0.532,-0.656,0.59
19.859904,0.538,-0.654,0.59
19.909952,0.554,-0.626,0.584
19.96,0.538,-0.632,0.536
20.009856,0.528,-0.614,0.534
20.059904,0.554,-0.63,0.556
20.109952,0.584,-0.614,0.536
20.16,0.544,-0.62,0.536
20.210856,0.548,-0.626,0.544
20.260904,0.562,-0.624,0.552
20.310952,0.57,-0.646,0.532
20.361,0.564,-0.6,0.558
20.410856,0.564,-0.626,0.556
20.460904,0.538,-0.608,0.536
20.510952,0.544,-0.632,0.558
20.561,0.556,-0.646,0.56
20.610856,0.56,-0.638,0.56
20.660904,0.552,-0.648,0.55
20.710952,0.548,-0.624,0.54
20.761,0.56,-0.638,0.552
20.810856,0.558,-0.622,0.542
20.860904,0.56,-0.644,0.55
20.910952,0.56,-0.64,0.552
20.961,0.552,-0.652,0.558
21.010856,0.544,-0.642,0.544
21.060904,0.548,-0.648,0.556
21.110952,0.546,-0.636,0.544
21.161,0.552,-0.636,0.55
21.211856,0.56,-0.64,0.558
21.261904,0.546,-0.624,0.56
21.311952,0.546,-0.638,0.56
21.362,0.552,-0.63,0.55
21.411856,0.546,-0.644,0.552
21.461904,0.548,-0.626,0.546
21.511952,0.536,-0.608,0.536
21.562,0.544,-0.654,0.542
21.611856,0.546,-0.632,0.554
21.661904,0.546,-0.636,0.558
21.711952,0.552,-0.638,0.56
21.762,0.548,-0.636,0.544
21.811856,0.544,-0.638,0.546
21.861904,0.544,-0.632,0.55
21.911952,0.546,-0.652,0.55
21.962,0.536,-0.636,0.546
22.011856,0.528,-0.632,0.536
22.061904,0.542,-0.638,0.558
22.111952,0.56,-0.646,0.542
22.162,0.552,-0.646,0.55
22.211856,0.544,-0.646,0.556
22.261904,0.53,-0.632,0.544
22.311952,0.538,-0.622,0.542
22.362,0.552,-0.652,0.556
22.412856,0.552,-0.642,0.542
22.462904,0.564,-0.654,0.53
22.512952,0.552,-0.62,0.536
22.563,0.544,-0.646,0.552
22.612856,0.53,-0.642,0.542
22.662904,0.538,-0.638,0.536
22.712952,0.548,-0.638,0.54
22.763,0.56,-0.63,0.552
22.812856,0.57,-0.648,0.518
22.862904,0.546,-0.646,0.544
22.912952,0.532,-0.654,0.546
22.963,0.548,-0.642,0.56
23.012856,0.542,-0.63,0.56
23.062904,0.544,-0.646,0.56
23.112952,0.56,-0.646,0.552
23.163,0.538,-0.63,0.546
23.212856,0.538,-0.608,0.554
23.262904,0.564,-0.648,0.544
23.312952,0.56,-0.65,0.556
23.363,0.552,-0.624,0.544
23.413856,0.536,-0.624,0.518
23.463904,0.546,-0.636,0.54
23.513952,0.574,-0.638,0.532
23.564,0.574,-0.632,0.552
23.613856,0.56,-0.646,0.544
23.663904,0.548,-0.648,0.558
23.713952,0.546,-0.632,0.55
23.764,0.544,-0.62,0.542
23.813856,0.552,-0.642,0.55
23.863904,0.57,-0.64,0.556
23.913952,0.55,-0.632,0.542
23.964,0.562,-0.636,0.542
24.013856,0.546,-0.608,0.528
24.063904,0.554,-0.636,0.536
24.113952,0.558,-0.626,0.54
24.164,0.562,-0.646,0.54
24.213856,0.56,-0.632,0.54
24.263904,0.514,-0.608,0.51
24.313952,0.552,-0.646,0.542
24.364,0.556,-0.652,0.53
24.414856,0.548,-0.652,0.542
24.464904,0.544,-0.642,0.54
24.514952,0.538,-0.622,0.518
24.565,0.548,-0.642,0.542
24.614856,0.552,-0.608,0.528
24.664904,0.56,-0.64,0.54
24.714952,0.546,-0.654,0.54
24.765,0.536,-0.658,0.546
24.814856,0.544,-0.63,0.53
24.864904,0.546,-0.626,0.544
24.914952,0.544,-0.64,0.528
24.965,0.544,-0.654,0.542
25.014856,0.554,-0.638,0.526
25.064904,0.544,-0.648,0.546
25.114952,0.544,-0.646,0.546
25.165,0.55,-0.646,0.536
25.214856,0.544,-0.638,0.54
25.264904,0.55,-0.64,0.528
25.314952,0.566,-0.646,0.546
25.365,0.562,-0.642,0.518
25.415856,0.67,-0.766,0.554
25.465904,0.878,-0.766,0.656
25.515952,0.862,-0.59,0.992
25.566,0.57,-0.6,0.806
25.615856,0.362,-0.742,0.69
25.665904,0.222,-0.662,0.806
25.715952,0.132,-0.846,0.716
25.766,0.304,-0.902,0.75
25.815856,0.154,-0.478,0.56
25.865904,-0.224,-0.372,0.284
25.915952,-0.518,-0.834,0.102
25.966,-0.592,-0.718,0.012
26.015856,-0.402,-1.06,-0.25
26.065904,-0.1,-0.882,0.076
26.115952,-0.088,-0.726,-0.124
26.166,-0.018,-0.798,-0.072
26.215856,0.002,-0.952,-0.064
26.265904,-0.086,-0.898,0.006
26.315952,-0.112,-0.998,0.07
26.366,-0.176,-0.988,0.066
26.416856,-0.136,-1.26,0.06
26.466904,-0.272,-1.15,0.184
26.516952,-0.304,-1.398,-0.04
26.567,-0.43,-0.774,0.166
26.616856,-0.448,-0.92,0.014
26.666904,-0.462,-0.51,0.224
26.716952,-0.44,-0.376,0.312
26.767,-0.374,-0.168,0.404
26.816856,-0.206,-0.108,0.248
26.866904,0.014,-0.574,0.192
26.916952,0.16,-1.36,0.014
26.967,0.464,-1.592,-0.114
27.016856,0.008,-1.708,-0.09
27.066904,0.008,-1.204,0.076
27.116952,-0.098,-1.01,0.104
27.167,-0.124,-0.93,0.014
27.216856,-0.08,-0.838,0.044
27.266904,-0.054,-0.866,0.006
27.316952,-0.056,-0.864,0.03
27.367,-0.048,-0.926,0.024
27.416856,-0.048,-0.982,0.032
27.466904,-0.062,-0.986,0.108
27.516952,-0.048,-1.038,0.07
27.567,-0.038,-0.952,0.056
27.617856,-0.048,-0.966,0.048
27.667904,-0.07,-0.974,0.024
27.717952,-0.06,-0.958,0.024
27.768,-0.072,-0.942,0.044
27.817856,-0.078,-0.936,0.024
27.867904,-0.098,-0.952,0.006
27.917952,-0.094,-0.952,-0.014
27.968,-0.128,-0.92,0.004
28.017856,-0.134,-0.91,-0.048
28.067904,-0.152,-0.92,-0.042
28.117952,-0.172,-0.904,-0.06
28.168,-0.162,-0.92,-0.082
28.217856,-0.152,-0.878,-0.08
28.267904,-0.152,-0.926,-0.064
28.317952,-0.146,-0.96,-0.104
28.368,-0.122,-0.974,-0.078
28.417856,-0.118,-0.95,-0.044
28.467904,-0.128,-0.952,-0.064
28.517952,-0.128,-0.934,-0.072
28.568,-0.146,-0.944,-0.072
28.618856,-0.176,-0.96,-0.072
28.668904,-0.186,-0.958,-0.082
28.718952,-0.152,-0.94,-0.088
28.769,-0.118,-1.016,-0.112
28.818856,-0.13,-1.136,-0.188
28.868904,-0.254,-1.212,0.048
28.918952,-0.332,-1.192,0.476
28.969,-0.398,-0.856,0.61
29.018856,-0.48,-0.748,0.454
29.068904,-0.472,-0.6,0.446
29.118952,-0.594,-0.476,0.454
29.169,-0.652,-0.51,0.432
29.218856,-0.576,-0.44,0.444
29.268904,-0.532,-0.624,0.334
29.318952,-0.488,-0.574,0.422
29.369,-0.51,-0.588,0.386
29.418856,-0.552,-0.598,0.354
29.468904,-0.6,-0.694,0.35
29.518952,-0.722,-0.488,0.352
29.569,-0.696,-0.718,0.338
29.619856,-0.716,-0.574,0.374
29.669904,-0.642,-0.748,0.376
29.719952,-0.67,-0.624,0.348
29.77,-0.77,-0.562,0.412
29.819856,-0.696,-0.59,0.414
29.869904,-0.68,-0.64,0.344
29.919952,-0.678,-0.528,0.406
29.97,-0.68,-0.616,0.376
30.019856,-0.656,-0.59,0.39
30.069904,-0.654,-0.606,0.38
30.119952,-0.56,-0.48,0.398
30.17,-0.502,-0.544,0.484
30.219856,-0.636,-0.722,0.51
30.269904,-0.636,-0.482,0.782
30.319952,-0.654,-0.782,0.604
30.37,-0.8,-0.224,0.892
30.419856,-0.636,0.09,1.094
30.469904,-0.116,-0.91,1.116
30.519952,-0.016,-0.416,1.27
30.57,0.084,-0.382,1.144
30.620856,-0.054,-0.434,1.094
30.670904,-0.21,-0.332,0.824
30.720952,-0.178,-0.304,0.822
30.771,-0.162,-0.096,0.816
30.820856,-0.078,-0.2,0.892
30.870904,-0.078,-0.188,0.854
30.920952,0.008,-0.184,0.86
30.971,0.048,-0.142,0.816
31.020856,0.128,-0.214,1.166
31.070904,0.09,0.116,1.168
31.120952,0.378,-0.366,1.078
31.171,0.238,-0.126,1.36
31.220856,0.132,-0.152,1.266
31.270904,0.12,-0.048,1.038
31.320952,0.116,-0.014,0.998
31.371,0.144,-0.062,0.984
31.420856,0.114,-0.12,0.952
31.470904,0.008,-0.048,1.096
31.520952,0.064,-0.152,1.106
31.571,0.018,-0.158,1.072
31.621856,-0.006,-0.206,1.022
31.671904,0.052,-0.13,1.008
31.721952,0.128,-0.106,0.904
31.772,0.148,-0.14,0.77
31.821856,0.158,-0.152,0.798
31.871904,0.16,-0.048,0.774
31.921952,0.234,-0.126,0.638
31.972,0.37,-0.236,0.728
32.021856,0.5,-0.358,0.626
32.071904,0.61,-0.334,0.7
32.121952,0.832,-0.328,0.63
32.172,0.936,-0.338,0.568
32.221856,1.276,-0.61,0.558
32.271904,1.354,-0.384,0.694
32.321952,1.146,-0.192,0.754
32.372,1.0,-0.296,0.688
32.421856,0.898,-0.39,0.562
32.471904,0.82,-0.428,0.484
32.521952,0.82,-0.45,0.372
32.572,0.928,-0.316,0.46
32.621856,0.904,-0.248,0.398
32.671904,0.93,-0.288,0.38
32.721952,0.902,-0.268,0.348
32.772,0.862,-0.188,0.344
32.822856,0.808,-0.252,0.308
32.872904,0.792,-0.248,0.268
32.922952,0.82,-0.242,0.304
32.973,0.84,-0.254,0.334
33.022856,0.862,-0.312,0.356
33.072904,0.874,-0.322,0.376
33.122952,0.772,-0.278,0.358
33.173,0.894,-0.302,0.398
33.222856,0.88,-0.288,0.364
33.272904,0.898,-0.312,0.376
33.322952,0.884,-0.318,0.36
33.373,0.89,-0.302,0.368
33.422856,0.864,-0.304,0.35
33.472904,0.866,-0.29,0.348
33.522952,0.862,-0.286,0.344
33.573,0.866,-0.264,0.342
33.622856,0.862,-0.24,0.342
33.672904,0.852,-0.254,0.326
33.722952,0.848,-0.248,0.334
33.773,0.856,-0.262,0.342
33.823856,0.848,-0.27,0.358
33.873904,0.866,-0.28,0.368
33.923952,0.866,-0.286,0.352
33.974,0.872,-0.3,0.374
34.023856,0.872,-0.308,0.35
34.073904,0.866,-0.302,0.36
34.123952,0.872,-0.312,0.344
34.174,0.88,-0.304,0.34
34.223856,0.866,-0.29,0.352
34.273904,0.866,-0.294,0.328
34.323952,0.866,-0.302,0.334
34.374,0.844,-0.286,0.332
34.423856,0.866,-0.278,0.326
34.473904,0.846,-0.27,0.326
34.523952,0.87,-0.28,0.344
34.574,0.866,-0.268,0.358
34.623856,0.866,-0.276,0.368
34.673904,0.872,-0.284,0.364
34.723952,0.858,-0.28,0.382
34.774,0.872,-0.28,0.332
34.824856,0.866,-0.27,0.334
34.874904,0.868,-0.302,0.332
34.924952,0.876,-0.294,0.336
34.975,0.866,-0.296,0.344
35.024856,0.858,-0.286,0.342
35.074904,0.866,-0.3,0.35
35.124952,0.862,-0.296,0.348
35.175,0.858,-0.286,0.352
35.224856,0.858,-0.286,0.326
35.274904,0.868,-0.294,0.348
35.324952,0.754,-0.27,0.312
35.375,0.882,-0.294,0.336
35.424856,0.858,-0.284,0.344
35.474904,0.848,-0.288,0.344
35.524952,0.858,-0.294,0.34
35.575,0.866,-0.294,0.348
35.624856,0.866,-0.302,0.35
35.674904,0.858,-0.3,0.344
35.724952,0.862,-0.29,0.338
35.775,0.856,-0.29,0.344
35.825856,0.862,-0.294,0.332
35.875904,0.866,-0.294,0.352
35.925952,0.868,-0.296,0.352
35.976,0.872,-0.302,0.344
36.025856,0.856,-0.294,0.352
36.075904,0.87,-0.288,0.334
36.125952,0.868,-0.272,0.352
36.176,0.862,-0.288,0.344
36.225856,0.876,-0.294,0.35
36.275904,0.872,-0.286,0.34
36.325952,0.864,-0.274,0.368
36.376,0.868,-0.286,0.358
36.425856,0.858,-0.27,0.342
36.475904,0.864,-0.3,0.352
36.525952,0.866,-0.294,0.368
36.576,0.868,-0.294,0.344
36.625856,0.866,-0.278,0.338
36.675904,0.868,-0.288,0.342
36.725952,0.866,-0.286,0.348
36.776,0.858,-0.284,0.358
36.826856,0.862,-0.286,0.358
36.876904,0.878,-0.286,0.348
36.926952,0.866,-0.27,0.354
36.977,0.868,-0.296,0.376
37.026856,0.882,-0.272,0.376
37.076904,0.872,-0.254,0.366
37.126952,0.878,-0.27,0.356
37.177,0.858,-0.284,0.35
37.226856,0.864,-0.254,0.312
37.276904,0.882,-0.22,0.368
37.326952,0.88,-0.232,0.364
37.377,0.878,-0.236,0.368
37.426856,0.88,-0.242,0.364
37.476904,0.878,-0.274,0.382
37.526952,0.878,-0.258,0.376
37.577,0.882,-0.326,0.304
37.626856,0.898,-0.246,0.3
37.676904,0.846,-0.078,0.408
37.726952,0.818,-0.034,0.262
37.777,0.874,-0.11,0.476
37.826856,0.84,-0.078,0.334
37.876904,0.818,-0.102,0.352
37.926952,0.8,-0.05,0.462
37.977,0.89,-0.268,0.44
38.027856,0.884,-0.204,0.374
38.077904,0.9,-0.294,0.39
38.127952,0.9,-0.26,0.396
38.178,0.894,-0.254,0.384
38.227856,0.912,-0.342,0.304
38.277904,0.928,-0.398,0.318
38.327952,0.952,-0.288,0.326
38.378,0.91,-0.31,0.344
38.427856,0.904,-0.304,0.352
38.477904,0.862,-0.318,0.336
38.527952,0.874,-0.312,0.306
38.578,0.866,-0.248,0.286
38.627856,0.872,-0.3,0.294
38.677904,0.876,-0.296,0.272
38.727952,0.888,-0.272,0.27
38.778,0.89,-0.254,0.286
38.827856,0.868,-0.254,0.28
38.877904,0.866,-0.262,0.288
38.927952,0.878,-0.27,0.28
38.978,0.88,-0.27,0.278
39.028856,0.884,-0.27,0.278
39.078904,0.906,-0.274,0.286
